q1.5,EvFreq,CCattr,risk_YieldFuture,partnerlab,NbSyes,Cluster
"£50,000 to £100,000",Once every 2-3 years,Partly,To some extent,Yes,NbSyes,0
"£10,000 to £20,000",Once in the last five years,Mainly,To some extent,No,NbSyes,1
"£50,000 to £100,000",Never,Mainly,To some extent,No,NbSyes,0
"£20,000 to £50,000",Once in the last five years,Partly,To some extent,No,NbSno,1
"£20,000 to £50,000",Once every 2-3 years,Partly,Very much,No,NbSyes,1
"£100,000 to £200,000",Once a year,Partly,Very much,No,NbSyes,0
"£20,000 to £50,000",More than once a year ,Partly,To some extent,Yes,NbSyes,1
"£20,000 to £50,000",More than once a year ,Partly,To some extent,No,NbSyes,1
"£10,000 to £20,000",Once in the last five years,Partly,To some extent,Yes,NbSyes,1
"£50,000 to £100,000",Never,Mainly,Very much,No,NbSyes,0
"£20,000 to £50,000",Once every 2-3 years,Partly,To some extent,No,NbSyes,1
"£50,000 to £100,000",Once in the last five years,Partly,To some extent,No,NbSyes,1
"£20,000 to £50,000",Once every 2-3 years,Partly,Very much,No,NbSno,1
"£50,000 to £100,000",Never,Partly,Very much,No,NbSyes,0
"£50,000 to £100,000",Once in the last five years,Partly,Very much,No,NbSyes,1
"£10,000 to £20,000",Once every 2-3 years,Partly,Very much,No,NbSno,1
"£10,000 to £20,000",Once every 2-3 years,Mainly,To some extent,No,NbSno,1
"£20,000 to £50,000",Once a year,Partly,Very much,No,NbSno,1
"£100,000 to £200,000",Once a year,Mainly,Very much,Yes,NbSyes,0
"£20,000 to £50,000",Once a year,Mainly,Very much,Yes,NbSyes,0
"£20,000 to £50,000",Once in the last five years,Partly,To some extent,No,NbSyes,1
"£50,000 to £100,000",Once a year,Partly,Very much,No,NbSyes,0
"£10,000 to £20,000",Once a year,Partly,To some extent,No,NbSno,1
"£50,000 to £100,000",Never,Partly,To some extent,No,NbSno,2
"£10,000 to £20,000",Once a year,Mainly,Very much,Yes,NbSyes,0
"£10,000 to £20,000",Once in the last five years,Partly,To some extent,No,NbSno,1
"< £10,000",More than once a year ,Mainly,To some extent,No,NbSyes,1
"£20,000 to £50,000",Once a year,Partly,To some extent,No,NbSyes,1
"£20,000 to £50,000",Once a year,Mainly,Very much,No,NbSno,0
"£20,000 to £50,000",Once every 2-3 years,Partly,To some extent,Yes,NbSyes,1
"£20,000 to £50,000",Once a year,Mainly,Very much,Yes,NbSyes,0
